# BUSCO version is: 5.8.3 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-02-25, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length
15803at5794	Complete	ACNH67_004621-T1	179.2	156
15911at5794	Complete	ACNH67_002779-T1	92.2	104
16038at5794	Complete	ACNH67_002355-T1	131.9	102
16211at5794	Complete	ACNH67_000045-T1	167.3	102
17147at5794	Complete	ACNH67_002071-T1	405.0	257
17423at5794	Complete	ACNH67_003413-T1	382.3	364
17586at5794	Complete	ACNH67_000636-T1	146.4	101
18021at5794	Complete	ACNH67_002614-T1	316.1	340
18026at5794	Duplicated	ACNH67_000269-T1	131.1	149
18026at5794	Duplicated	ACNH67_003624-T1	113.8	146
18028at5794	Complete	ACNH67_004210-T1	340.6	235
18175at5794	Complete	ACNH67_001797-T1	337.6	216
18178at5794	Complete	ACNH67_003896-T1	178.7	162
18694at5794	Complete	ACNH67_004964-T1	694.3	397
19052at5794	Complete	ACNH67_002696-T1	147.4	144
19609at5794	Complete	ACNH67_005518-T1	300.4	258
19917at5794	Complete	ACNH67_005020-T1	567.2	518
19925at5794	Complete	ACNH67_004645-T1	342.5	353
20076at5794	Complete	ACNH67_001758-T1	56.4	73
20195at5794	Complete	ACNH67_004592-T1	529.0	589
26645at5794	Complete	ACNH67_002734-T1	165.6	188
26678at5794	Missing
31016at5794	Duplicated	ACNH67_001320-T1	1540.9	811
31016at5794	Duplicated	ACNH67_001655-T1	1539.7	811
31030at5794	Complete	ACNH67_002061-T1	514.7	609
31048at5794	Complete	ACNH67_000826-T1	176.6	102
31088at5794	Missing
31099at5794	Duplicated	ACNH67_000761-T1	319.0	191
31099at5794	Duplicated	ACNH67_000770-T1	321.0	189
31117at5794	Complete	ACNH67_001453-T1	163.5	117
31127at5794	Missing
31137at5794	Complete	ACNH67_002538-T1	592.4	471
31179at5794	Complete	ACNH67_000391-T1	183.8	128
31183at5794	Complete	ACNH67_002986-T1	339.9	418
31188at5794	Complete	ACNH67_005013-T1	676.7	480
31197at5794	Complete	ACNH67_002788-T1	333.5	188
31238at5794	Complete	ACNH67_003715-T1	809.7	518
31253at5794	Complete	ACNH67_001981-T1	241.9	178
31266at5794	Fragmented	ACNH67_005180-T1	218.8	323
31310at5794	Complete	ACNH67_004541-T1	723.0	601
31324at5794	Fragmented	ACNH67_004866-T1	83.5	77
31334at5794	Complete	ACNH67_000749-T1	224.4	340
31339at5794	Complete	ACNH67_001313-T1	1532.0	1126
31354at5794	Complete	ACNH67_004984-T1	800.4	528
31355at5794	Missing
31387at5794	Missing
31400at5794	Complete	ACNH67_002139-T1	399.1	238
31421at5794	Complete	ACNH67_003933-T1	865.6	650
31431at5794	Fragmented	ACNH67_002150-T1	150.8	122
31484at5794	Complete	ACNH67_001742-T1	671.0	414
31487at5794	Complete	ACNH67_001808-T1	211.4	349
31496at5794	Complete	ACNH67_001074-T1	135.3	166
31510at5794	Complete	ACNH67_003546-T1	201.1	245
31523at5794	Complete	ACNH67_003138-T1	450.3	358
31553at5794	Complete	ACNH67_002641-T1	428.6	373
31573at5794	Complete	ACNH67_005458-T1	132.5	224
31598at5794	Complete	ACNH67_003415-T1	37.7	182
31609at5794	Complete	ACNH67_004272-T1	230.1	179
31610at5794	Complete	ACNH67_002440-T1	180.9	263
31618at5794	Complete	ACNH67_001450-T1	229.8	333
31647at5794	Complete	ACNH67_003832-T1	347.7	347
31665at5794	Complete	ACNH67_003352-T1	1032.4	594
31696at5794	Missing
31757at5794	Complete	ACNH67_004855-T1	857.2	644
31775at5794	Complete	ACNH67_002358-T1	244.1	289
31786at5794	Complete	ACNH67_001591-T1	464.4	381
31816at5794	Complete	ACNH67_002666-T1	747.2	616
31823at5794	Complete	ACNH67_003432-T1	192.1	209
31842at5794	Complete	ACNH67_002756-T1	584.1	321
31844at5794	Complete	ACNH67_002895-T1	672.8	702
31916at5794	Complete	ACNH67_005556-T1	375.8	312
31935at5794	Complete	ACNH67_002765-T1	697.5	496
31941at5794	Complete	ACNH67_002419-T1	1049.8	650
31955at5794	Complete	ACNH67_002822-T1	217.3	237
31960at5794	Complete	ACNH67_002390-T1	2374.2	1906
31972at5794	Fragmented	ACNH67_002688-T1	193.5	221
31975at5794	Missing
31981at5794	Fragmented	ACNH67_001865-T1	131.9	143
31982at5794	Complete	ACNH67_004401-T1	247.4	164
32004at5794	Complete	ACNH67_004037-T1	522.7	595
32028at5794	Complete	ACNH67_000873-T1	705.7	538
32042at5794	Missing
32054at5794	Fragmented	ACNH67_005480-T1	323.7	397
32074at5794	Fragmented	ACNH67_003284-T1	314.0	609
32087at5794	Complete	ACNH67_001571-T1	430.1	428
32100at5794	Missing
32118at5794	Complete	ACNH67_002369-T1	205.1	196
32123at5794	Complete	ACNH67_002607-T1	150.6	194
32139at5794	Complete	ACNH67_005515-T1	353.6	347
32158at5794	Complete	ACNH67_004922-T1	668.7	435
32187at5794	Complete	ACNH67_001683-T1	965.3	823
32203at5794	Missing
32216at5794	Complete	ACNH67_002970-T1	802.6	907
32308at5794	Complete	ACNH67_005220-T1	834.1	852
32326at5794	Missing
32339at5794	Complete	ACNH67_001915-T1	323.7	207
32347at5794	Complete	ACNH67_002442-T1	712.8	433
32393at5794	Complete	ACNH67_005372-T1	393.6	381
32429at5794	Fragmented	ACNH67_004391-T1	198.0	188
32487at5794	Complete	ACNH67_002695-T1	340.5	424
32495at5794	Duplicated	ACNH67_003051-T1	574.2	840
32495at5794	Duplicated	ACNH67_003052-T1	550.6	780
32613at5794	Missing
32634at5794	Fragmented	ACNH67_003496-T1	98.5	149
32660at5794	Complete	ACNH67_002542-T1	1468.1	1264
32662at5794	Complete	ACNH67_001229-T1	1506.6	938
32682at5794	Complete	ACNH67_003459-T1	240.8	216
32723at5794	Complete	ACNH67_000816-T1	354.2	272
32771at5794	Complete	ACNH67_002817-T1	370.8	241
32782at5794	Complete	ACNH67_003931-T1	465.3	311
32794at5794	Complete	ACNH67_004605-T1	324.4	305
32841at5794	Complete	ACNH67_004996-T1	215.2	473
32877at5794	Complete	ACNH67_002691-T1	287.0	216
32910at5794	Missing
32933at5794	Complete	ACNH67_003082-T1	172.2	168
32971at5794	Complete	ACNH67_005637-T1	155.7	139
32975at5794	Missing
33032at5794	Fragmented	ACNH67_001017-T1	153.7	215
33075at5794	Complete	ACNH67_001067-T1	748.7	681
33206at5794	Complete	ACNH67_002989-T1	327.8	221
33233at5794	Complete	ACNH67_002316-T1	189.8	193
33259at5794	Missing
33274at5794	Complete	ACNH67_001427-T1	462.8	976
33286at5794	Fragmented	ACNH67_002782-T1	230.8	198
33293at5794	Fragmented	ACNH67_001064-T1	126.9	155
33299at5794	Complete	ACNH67_000205-T1	727.0	474
33365at5794	Complete	ACNH67_005002-T1	349.4	335
33372at5794	Missing
33413at5794	Complete	ACNH67_000695-T1	938.5	906
33447at5794	Complete	ACNH67_000098-T1	1121.1	982
33519at5794	Complete	ACNH67_001748-T1	93.9	226
33556at5794	Missing
33649at5794	Complete	ACNH67_001553-T1	127.3	122
33665at5794	Complete	ACNH67_005072-T1	216.6	154
33766at5794	Complete	ACNH67_000830-T1	244.5	209
33786at5794	Complete	ACNH67_002848-T1	557.0	423
33797at5794	Complete	ACNH67_001331-T1	136.4	163
33810at5794	Missing
33846at5794	Complete	ACNH67_004797-T1	371.7	314
35114at5794	Complete	ACNH67_003739-T1	170.0	109
35146at5794	Complete	ACNH67_003850-T1	325.0	256
35161at5794	Complete	ACNH67_002297-T1	365.3	191
35206at5794	Complete	ACNH67_004285-T1	307.5	210
35214at5794	Missing
35234at5794	Complete	ACNH67_003681-T1	129.0	120
35235at5794	Complete	ACNH67_004183-T1	452.8	346
35238at5794	Complete	ACNH67_003309-T1	169.8	125
35272at5794	Complete	ACNH67_005096-T1	177.0	141
35350at5794	Fragmented	ACNH67_001883-T1	1003.4	508
35490at5794	Complete	ACNH67_002300-T1	118.1	93
35557at5794	Complete	ACNH67_005054-T1	605.9	548
35708at5794	Complete	ACNH67_003663-T1	190.1	155
35745at5794	Complete	ACNH67_002353-T1	230.1	195
35788at5794	Complete	ACNH67_003312-T1	367.1	310
35825at5794	Complete	ACNH67_005419-T1	356.1	695
35840at5794	Complete	ACNH67_003236-T1	451.5	396
35862at5794	Complete	ACNH67_002177-T1	635.2	640
35998at5794	Complete	ACNH67_000399-T1	403.8	230
36219at5794	Complete	ACNH67_000603-T1	280.6	341
36223at5794	Complete	ACNH67_004063-T1	317.5	253
36358at5794	Complete	ACNH67_000214-T1	529.4	538
36459at5794	Fragmented	ACNH67_003258-T1	200.1	322
36738at5794	Complete	ACNH67_004369-T1	217.2	270
36848at5794	Missing
36929at5794	Fragmented	ACNH67_000035-T1	265.2	265
37207at5794	Missing
37223at5794	Fragmented	ACNH67_004651-T1	166.1	371
37256at5794	Complete	ACNH67_004680-T1	443.5	279
37275at5794	Complete	ACNH67_000418-T1	305.2	243
37282at5794	Missing
37309at5794	Missing
38276at5794	Fragmented	ACNH67_003153-T1	64.7	124
38318at5794	Complete	ACNH67_003844-T1	188.2	176
40301at5794	Complete	ACNH67_004151-T1	647.9	298
40338at5794	Complete	ACNH67_002616-T1	323.4	247
40473at5794	Missing
40580at5794	Complete	ACNH67_003643-T1	358.7	299
40758at5794	Complete	ACNH67_004381-T1	128.2	168
40821at5794	Missing
40823at5794	Complete	ACNH67_003835-T1	553.5	280
41100at5794	Missing
41239at5794	Complete	ACNH67_005065-T1	734.7	446
41420at5794	Complete	ACNH67_001363-T1	143.2	202
41662at5794	Fragmented	ACNH67_001588-T1	318.1	497
41802at5794	Complete	ACNH67_000456-T1	673.6	626
41938at5794	Complete	ACNH67_003156-T1	582.5	373
42051at5794	Complete	ACNH67_003017-T1	213.0	172
42069at5794	Complete	ACNH67_004976-T1	315.9	477
42171at5794	Complete	ACNH67_004978-T1	161.1	114
42431at5794	Complete	ACNH67_001411-T1	247.8	260
42868at5794	Complete	ACNH67_004537-T1	308.5	187
43035at5794	Missing
43215at5794	Complete	ACNH67_002493-T1	876.5	726
43229at5794	Complete	ACNH67_003736-T1	268.7	300
43474at5794	Fragmented	ACNH67_001012-T1	496.4	507
43552at5794	Complete	ACNH67_004036-T1	384.8	332
44113at5794	Complete	ACNH67_002496-T1	188.5	292
44136at5794	Missing
44183at5794	Complete	ACNH67_002705-T1	295.8	577
44402at5794	Complete	ACNH67_001306-T1	237.4	315
46092at5794	Complete	ACNH67_003106-T1	231.5	186
46461at5794	Complete	ACNH67_003211-T1	269.9	195
46491at5794	Fragmented	ACNH67_002237-T1	96.3	115
46749at5794	Complete	ACNH67_000599-T1	225.4	161
47873at5794	Complete	ACNH67_003972-T1	499.3	398
47880at5794	Complete	ACNH67_003174-T1	116.8	156
48601at5794	Fragmented	ACNH67_001408-T1	299.6	560
48637at5794	Fragmented	ACNH67_003091-T1	243.3	295
48712at5794	Complete	ACNH67_000986-T1	352.1	381
49101at5794	Complete	ACNH67_004200-T1	129.4	241
49371at5794	Complete	ACNH67_002233-T1	373.6	313
49646at5794	Fragmented	ACNH67_005066-T1	251.8	215
49897at5794	Fragmented	ACNH67_002681-T1	222.1	222
50010at5794	Complete	ACNH67_005034-T1	231.4	178
51324at5794	Complete	ACNH67_000336-T1	89.9	166
51791at5794	Complete	ACNH67_002698-T1	199.2	126
52248at5794	Complete	ACNH67_004500-T1	354.1	292
54116at5794	Complete	ACNH67_003532-T1	1085.4	662
54761at5794	Duplicated	ACNH67_002983-T1	119.0	116
54761at5794	Duplicated	ACNH67_000620-T1	118.3	116
55588at5794	Complete	ACNH67_004965-T1	180.6	127
56595at5794	Fragmented	ACNH67_000421-T1	170.3	118
56679at5794	Complete	ACNH67_005392-T1	546.0	354
56734at5794	Missing
58426at5794	Missing
58968at5794	Complete	ACNH67_002500-T1	328.1	196
59603at5794	Complete	ACNH67_003640-T1	393.3	312
61544at5794	Fragmented	ACNH67_004933-T1	743.6	360
61687at5794	Complete	ACNH67_000947-T1	890.2	534
61784at5794	Complete	ACNH67_002441-T1	325.2	231
61967at5794	Complete	ACNH67_000048-T1	344.0	179
62823at5794	Complete	ACNH67_001061-T1	400.0	434
64228at5794	Complete	ACNH67_002287-T1	202.9	315
64410at5794	Complete	ACNH67_001886-T1	106.6	115
64460at5794	Complete	ACNH67_001104-T1	464.4	524
64694at5794	Complete	ACNH67_004269-T1	42.7	87
68689at5794	Complete	ACNH67_004652-T1	451.5	308
68693at5794	Complete	ACNH67_004426-T1	248.1	164
68694at5794	Complete	ACNH67_001935-T1	278.1	179
68695at5794	Missing
68702at5794	Complete	ACNH67_002446-T1	514.0	365
68703at5794	Complete	ACNH67_004747-T1	292.2	139
68705at5794	Complete	ACNH67_002659-T1	269.4	152
68711at5794	Complete	ACNH67_003220-T1	302.5	159
68713at5794	Fragmented	ACNH67_004859-T1	163.1	126
68715at5794	Complete	ACNH67_004528-T1	338.4	188
68719at5794	Complete	ACNH67_003129-T1	350.7	292
68721at5794	Complete	ACNH67_004486-T1	319.7	319
68724at5794	Complete	ACNH67_000349-T1	250.5	130
68726at5794	Complete	ACNH67_001982-T1	212.1	288
68727at5794	Complete	ACNH67_005244-T1	524.9	328
68729at5794	Complete	ACNH67_005015-T1	698.6	387
68734at5794	Complete	ACNH67_003704-T1	1162.6	603
68736at5794	Complete	ACNH67_004699-T1	775.4	470
68739at5794	Complete	ACNH67_002305-T1	254.3	170
68741at5794	Complete	ACNH67_005045-T1	234.0	154
68742at5794	Fragmented	ACNH67_002146-T1	297.8	192
68743at5794	Complete	ACNH67_004485-T1	548.6	366
68747at5794	Complete	ACNH67_004568-T1	180.2	104
68750at5794	Complete	ACNH67_001958-T1	612.2	331
68758at5794	Complete	ACNH67_003287-T1	192.8	176
68759at5794	Complete	ACNH67_004962-T1	359.6	357
68760at5794	Complete	ACNH67_001796-T1	711.2	386
68778at5794	Complete	ACNH67_000383-T1	191.0	164
68780at5794	Duplicated	ACNH67_005192-T1	359.4	222
68780at5794	Duplicated	ACNH67_005192-T2	359.4	222
68784at5794	Missing
68786at5794	Complete	ACNH67_003058-T1	382.3	217
68787at5794	Complete	ACNH67_001367-T1	202.9	147
68790at5794	Complete	ACNH67_004075-T1	733.0	462
68792at5794	Complete	ACNH67_000381-T1	847.7	453
68796at5794	Complete	ACNH67_004693-T1	381.1	339
68797at5794	Complete	ACNH67_000065-T1	760.2	449
68799at5794	Complete	ACNH67_004129-T1	643.8	379
68801at5794	Complete	ACNH67_003487-T1	251.4	182
68804at5794	Complete	ACNH67_003374-T1	301.5	179
68807at5794	Complete	ACNH67_002343-T1	721.7	381
68808at5794	Complete	ACNH67_000151-T1	756.2	626
68809at5794	Complete	ACNH67_001629-T1	813.6	511
68811at5794	Complete	ACNH67_000388-T1	801.5	551
68812at5794	Complete	ACNH67_003796-T1	267.7	177
68814at5794	Complete	ACNH67_004494-T1	384.6	252
68815at5794	Complete	ACNH67_003511-T1	399.4	294
68818at5794	Complete	ACNH67_004033-T1	269.6	164
68819at5794	Complete	ACNH67_005608-T1	214.6	191
68826at5794	Complete	ACNH67_001812-T1	744.8	384
68827at5794	Duplicated	ACNH67_005309-T1	643.7	383
68827at5794	Duplicated	ACNH67_002971-T1	642.4	377
68830at5794	Complete	ACNH67_005284-T1	1666.9	909
68831at5794	Duplicated	ACNH67_003245-T1	361.0	425
68831at5794	Duplicated	ACNH67_004777-T1	362.2	422
68833at5794	Complete	ACNH67_000133-T1	873.1	608
68834at5794	Complete	ACNH67_004448-T1	746.9	398
68836at5794	Complete	ACNH67_004176-T1	715.5	792
68844at5794	Complete	ACNH67_004945-T1	780.3	402
68845at5794	Complete	ACNH67_001722-T1	603.8	579
68846at5794	Complete	ACNH67_000981-T1	268.2	181
68851at5794	Complete	ACNH67_002682-T1	166.5	115
68852at5794	Complete	ACNH67_005373-T1	158.2	186
68858at5794	Complete	ACNH67_004825-T1	375.7	275
68860at5794	Complete	ACNH67_000157-T1	214.7	200
68864at5794	Complete	ACNH67_003727-T1	482.1	256
68869at5794	Complete	ACNH67_004974-T1	585.4	442
68873at5794	Complete	ACNH67_000291-T1	539.1	323
68879at5794	Complete	ACNH67_000436-T1	541.9	364
68884at5794	Complete	ACNH67_005121-T1	298.1	245
68886at5794	Complete	ACNH67_004278-T1	686.0	644
68889at5794	Complete	ACNH67_002988-T1	870.8	520
68892at5794	Complete	ACNH67_001889-T1	1498.3	999
68893at5794	Complete	ACNH67_001776-T1	284.4	257
68894at5794	Missing
68895at5794	Complete	ACNH67_002992-T1	625.8	446
68903at5794	Complete	ACNH67_002766-T1	765.9	414
68909at5794	Complete	ACNH67_003831-T1	923.4	949
68910at5794	Complete	ACNH67_000950-T1	1564.4	1449
68917at5794	Complete	ACNH67_005159-T1	428.3	255
68918at5794	Complete	ACNH67_003470-T1	476.5	429
68919at5794	Missing
68923at5794	Complete	ACNH67_000500-T1	712.3	540
68924at5794	Complete	ACNH67_002816-T1	323.5	193
68925at5794	Complete	ACNH67_000341-T1	614.1	587
68931at5794	Complete	ACNH67_001608-T1	404.1	345
68947at5794	Complete	ACNH67_001899-T1	638.7	596
68951at5794	Complete	ACNH67_004591-T1	1086.5	735
68953at5794	Duplicated	ACNH67_004422-T1	1654.5	1130
68953at5794	Duplicated	ACNH67_001297-T1	1420.8	1117
68958at5794	Complete	ACNH67_000742-T1	427.0	257
68965at5794	Complete	ACNH67_000084-T1	1437.5	779
68967at5794	Complete	ACNH67_003859-T1	430.2	413
68969at5794	Complete	ACNH67_003492-T1	414.0	284
68970at5794	Complete	ACNH67_000631-T1	345.7	280
68972at5794	Complete	ACNH67_001099-T1	244.5	141
68980at5794	Complete	ACNH67_003342-T1	456.2	487
68984at5794	Complete	ACNH67_001330-T1	317.9	186
68989at5794	Complete	ACNH67_001609-T1	264.3	174
68992at5794	Fragmented	ACNH67_003652-T1	306.2	196
68993at5794	Complete	ACNH67_000876-T1	818.8	502
69001at5794	Complete	ACNH67_003491-T1	285.8	205
69003at5794	Complete	ACNH67_003332-T1	570.3	403
69010at5794	Complete	ACNH67_000812-T1	557.1	844
69012at5794	Complete	ACNH67_002393-T1	648.8	456
69028at5794	Complete	ACNH67_000390-T1	849.9	525
69029at5794	Missing
69033at5794	Complete	ACNH67_001663-T1	478.5	470
69034at5794	Complete	ACNH67_004083-T1	723.5	440
69037at5794	Complete	ACNH67_004232-T1	914.3	602
69043at5794	Missing
69046at5794	Complete	ACNH67_005630-T1	455.3	296
69047at5794	Complete	ACNH67_003081-T1	309.2	352
69048at5794	Complete	ACNH67_004294-T1	413.6	278
69056at5794	Complete	ACNH67_001167-T1	583.5	422
69058at5794	Complete	ACNH67_001579-T1	1124.4	870
69103at5794	Complete	ACNH67_005328-T1	1782.7	1117
69108at5794	Duplicated	ACNH67_005529-T1	387.8	212
69108at5794	Duplicated	ACNH67_004869-T1	383.0	212
69116at5794	Complete	ACNH67_005506-T1	160.7	103
69120at5794	Complete	ACNH67_001636-T1	264.1	173
69121at5794	Duplicated	ACNH67_001542-T1	455.9	460
69121at5794	Duplicated	ACNH67_001543-T1	418.6	442
69130at5794	Complete	ACNH67_001764-T1	406.4	394
69135at5794	Complete	ACNH67_004206-T1	884.4	417
69136at5794	Complete	ACNH67_003867-T1	652.1	685
69137at5794	Complete	ACNH67_002180-T1	964.8	602
69139at5794	Complete	ACNH67_003898-T1	980.9	855
69143at5794	Complete	ACNH67_005528-T1	831.8	548
69144at5794	Complete	ACNH67_003608-T1	251.0	146
69147at5794	Complete	ACNH67_000137-T1	804.6	583
69148at5794	Duplicated	ACNH67_001729-T1	697.8	409
69148at5794	Duplicated	ACNH67_000389-T1	736.0	403
69153at5794	Fragmented	ACNH67_000307-T1	219.8	159
69159at5794	Complete	ACNH67_004435-T1	182.2	178
69160at5794	Complete	ACNH67_004420-T1	262.5	208
69163at5794	Complete	ACNH67_003706-T1	602.9	452
69164at5794	Complete	ACNH67_002490-T1	856.7	1152
69169at5794	Complete	ACNH67_003845-T1	422.8	324
69170at5794	Complete	ACNH67_002625-T1	629.1	477
69175at5794	Complete	ACNH67_004147-T1	156.9	125
69176at5794	Complete	ACNH67_004035-T1	421.0	300
69177at5794	Duplicated	ACNH67_004479-T1	1094.4	615
69177at5794	Duplicated	ACNH67_003957-T1	939.0	604
69186at5794	Complete	ACNH67_004547-T1	261.9	131
69187at5794	Complete	ACNH67_000615-T1	220.0	126
69189at5794	Complete	ACNH67_002849-T1	260.4	177
69196at5794	Duplicated	ACNH67_005354-T1	139.5	199
69196at5794	Duplicated	ACNH67_002315-T1	142.2	189
69198at5794	Complete	ACNH67_004115-T1	205.4	124
