Protein	L_gryllorum_count
XP_011132144.1 peptidase S8 family domain protein	2
XP_011130107.1 chitinase	2
XP_011134248.1 major intrinsic protein	2
KAG2521259.1 hypothetical protein JM16_006220	2
XP_011129737.1 aspartyl-tRNA synthetase	2
XP_055388711.1 serine/threonine-protein kinase ...	1
XP_002262421.1 uncharacterized protein PKNH_145...	1
XP_011131920.1 putative transmembrane protein	1
XP_011131185.1 phosphatidylinositol 3- and 4-ki...	1
XP_013248611.1 C2 domain-containing protein, pu...	1
XP_011132951.1 putative ribosome biogenesis pro...	1
KAF7458948.1 N-acetylglucosamine-1-phosphate tr...	1
AYV76418.1 MAG: chitinase-like protein cluster D	1
XP_029217035.1 hypothetical protein BESB_082250	1
XP_011130711.1 alba protein	1
KAF7720940.1 hypothetical protein EC973_005749	1
OXB33660.1 phosphomannomutase	1
CEM37601.1 unnamed protein product	1
KEG02086.1 hypothetical protein YYE_02825	1
XP_011132803.1 myosin, partial	1
CAE8620839.1 unnamed protein product	1
XP_011131470.1 hypothetical protein GNI_110130	1
XP_011131948.1 AP2 domain protein	1
XP_011131949.1 putative myosin	1
XP_011131788.1 hypothetical protein GNI_118450	1
CEM06493.1 unnamed protein product	1
XP_003882342.1 conserved hypothetical protein	1
XP_011131603.1 putative apicomplexan specific c...	1
KAG2786780.1 hypothetical protein Pcac1_g4010	1
XP_011131471.1 hypothetical protein GNI_110230	1
XP_011128616.1 tRNA pseudouridine synthase	1
CAK0870060.1 unnamed protein product	1
XP_011131398.1 putative transmembrane protein	1
XP_011128772.1 ankyrin repeat protein	1
KAF8819221.1 putative S-adenosylmethionine-depe...	1
WP_125290270.1 anaerobic C4-dicarboxylate trans...	1
XP_011132065.1 aspartyl protease	1
7V8K_A Chain A, Prolyl-tRNA synthetase	1
XP_011130342.1 cyclin	1
XP_011133462.1 putative serine/threonine protei...	1
XP_011133116.1 RING finger protein	1
KNC37253.1 asparagine-rich antigen, partial	1
XP_002139055.1 uncharacterized protein CMU_037710	1
WKN38836.1 glycoside hydrolase family 32 protein	1
XP_011130030.1 SPOC domain protein	1
KAH0476420.1 MAG: hypothetical protein KVP17_00...	1
CAD7937138.1 unnamed protein product	1
XP_011132603.1 putative pre-rRNA-processing pro...	1
XP_029222637.1 serine-threonine phosophatase 2C...	1
XP_011134499.1 60S ribosomal protein L11	1
XP_011131006.1 trunk domain protein	1
KAH0486606.1 MAG: hypothetical protein KVP17_00...	1
MDX1328502.1 glycoside hydrolase family 32 protein	1
XP_013337725.1 hypothetical protein, conserved	1
XP_003879620.1 hypothetical protein NCLIV_000790	1
XP_053679981.1 alkyldihydroxyacetonephosphate s...	1
XP_011128743.1 hypothetical protein GNI_009470	1
XP_011128946.1 EF hand protein	1
CEM21099.1 unnamed protein product	1
XP_011128628.1 hypothetical protein GNI_005880,...	1
XP_011130982.1 hypothetical protein GNI_095300,...	1
XP_003880260.1 adp-ribosylation factor 4, related	1
XP_011130065.1 chitinase	1
KAH8741908.1 nucleolar protein NOP5/NOP58-like ...	1
XP_011129442.1 nucleolar protein 5	1
XP_011130940.1 proliferating cell nuclear antig...	1
BAN64799.1 RNA recognition motif domain contain...	1
KAH0477083.1 MAG: hypothetical protein KVP18_00...	1
XP_011131264.1 Scd6-like Sm domain protein	1
CEM02413.1 unnamed protein product	1
CAE8585572.1 unnamed protein product	1
XP_011130225.1 putative pelota protein	1
XP_015376423.1 PREDICTED: cilia- and flagella-a...	1
XP_011128557.1 casein kinase I	1
XP_051403349.1 uncharacterized protein BX664DRA...	1
XP_011128654.1 malate dehydrogenase	1
XP_011132624.1 ribonuclease HII	1
XP_011130124.1 chitinase	1
XP_011134497.1 hypothetical protein GNI_059900	1
XP_011128993.1 TPR repeat protein	1
XP_011134495.1 putative eukaryotic translation ...	1
KAH0479583.1 MAG: hypothetical protein KVP17_00...	1
XP_667848.1 DHHC zinc finger multi-pass transme...	1
XP_011132459.1 helicase	1
XP_029218184.1 uncharacterized protein BESB_073270	1
XP_011132034.1 AAA domain protein	1
KAF5282011.1 hypothetical protein FQA39_LY00535	1
XP_011129905.1 histidine phosphatase superfamil...	1
KAK2374077.1 putative mannitol dehydrogenase	1
KAK1442683.1 RNA recognition motif RRM containi...	1
PHJ24314.1 polynucleotide 5 -hydroxyl-kinase	1
XP_011134004.1 proteasome subunit alpha type	1
KAH0487902.1 MAG: hypothetical protein KVP18_00...	1
XP_011133253.1 putative exonuclease	1
XP_042222195.1 galactosylgalactosylxylosylprote...	1
CAG9826634.1 unnamed protein product	1
XP_011133187.1 putative CorA-like Mg2+ transpor...	1
KAI5699273.1 hypothetical protein M8J75_000302	1
CEM07029.1 unnamed protein product	1
CCA15417.1 Skp1like protein putative	1
XP_011130605.1 major facilitator family transpo...	1
XP_011131654.1 GNS1/SUR4 family protein	1
XP_011134003.1 hypothetical protein GNI_080740	1
XP_011131675.1 60S ribosomal protein L37a	1
XP_011129064.1 RPAP1-like, carboxy-terminal pro...	1
POM84876.1 DNA polymerase III, delta subunit fa...	1
KAF7457022.1 Endonuclease/Exonuclease/phosphata...	1
XP_011130399.1 thioredoxin domain protein	1
XP_011129822.1 hypothetical protein GNI_052570	1
XP_011130343.1 cystathionine beta/gamma-lyase p...	1
XP_011128544.1 casein kinase I	1
XP_011130183.1 putative MORN repeat protein	1
XP_011130186.1 GNAT family acetyltransferase	1
XP_011132738.1 40S ribosomal protein S24	1
XP_011130237.1 hypothetical protein GNI_068790	1
Q40302.3 RecName: Full=Calmodulin; Short=CaM	1
XP_011129171.1 calmodulin	1
XP_011130808.1 hypothetical protein GNI_089580	1
KAG1681526.1 hypothetical protein FOA52_014032	1
XP_011130745.1 N6-adenosine-methyltransferase	1
KAF2829823.1 peptidyl-prolyl cis-trans isomerase	1
KAH0480337.1 MAG: hypothetical protein KVP18_00...	1
KAG1678379.1 hypothetical protein FOA52_015145	1
XP_029221922.1 hypothetical protein BESB_002540	1
XP_011128508.1 hypothetical protein GNI_003320	1
XP_011133521.1 synaptobrevin-like protein YKT6	1
XP_011131530.1 putative Sec24-like protein	1
XP_011129590.1 importin subunit alpha	1
XP_011129263.1 hypothetical protein GNI_034990	1
XP_011131561.1 60S ribosomal protein L14	1
XP_011130291.1 hypothetical protein GNI_070320	1
CEL73038.1 TPA: glucose-6-phosphate isomerase	1
KAH8369480.1 hypothetical protein KR009_012094,...	1
XP_057027713.1 DNA mismatch repair protein C-te...	1
KAH0488105.1 MAG: hypothetical protein KVP17_00...	1
XP_011132798.1 putative 60S ribosomal protein L...	1
CEM30193.1 unnamed protein product	1
XP_011130242.1 putative transport protein SEC13	1
CEL92938.1 unnamed protein product	1
CEL97129.1 unnamed protein product	1
XP_011131566.1 putative vacuolar ATP synthase s...	1
XP_011131376.1 putative 40S ribosomal protein S10	1
XP_020627701.1 dual specificity protein phospha...	1
XP_011128828.1 hypothetical protein GNI_011770	1
KAF8822680.1 hypothetical protein IE077_003149	1
XP_011132157.1 putative protein phosphatase 2C	1
KRT79046.1 hypothetical protein AMK59_8167, par...	1
BAN65996.1 mitochondrial import inner membrane ...	1
MBX3192588.1 NAD-dependent malic enzyme	1
XP_011131409.1 ThiF family protein	1
KAH0483518.1 MAG: hypothetical protein KVP18_00...	1
XP_011133039.1 anticodon-binding domain protein	1
XP_044733728.1 DNA repair endonuclease XPF, par...	1
XP_004830856.1 replication factor C subunit 3, ...	1
KAA3457287.1 protein disulfide-isomerase like 2...	1
CAK0822736.1 unnamed protein product	1
XP_040793650.1 RING/U-box	1
XP_027193948.1 deoxyhypusine synthase-like	1
XP_011129199.1 putative patatin-like phospholip...	1
UKJ89485.2 CTP-phosphoethanolamine cytidylyltra...	1
XP_002948272.1 uncharacterized protein VOLCADRA...	1
XP_011131724.1 ATP-dependent helicase	1
CAE7233582.1 MPHOSPH10	1
XP_011128586.1 putative vacuolar ATP synthase c...	1
KAF8820378.1 protein translocation complex, SEC...	1
CEM33404.1 unnamed protein product	1
KAF4664246.1 Quiescin Q6 sulfhydryl oxidase	1
KAH7650294.1 hypothetical protein FG379_003366	1
XP_011130552.1 DnaK family protein	1
WP_298429998.1 peptide-methionine (R)-S-oxide r...	1
XP_053992187.1 protein CWC15 homolog	1
XP_011132710.1 hypothetical protein GNI_148760	1
OAO17603.1 thioredoxin-related protein	1
XP_011133222.1 putative insulin-degrading enzyme	1
MDN5249796.1 hypothetical protein	1
XP_011132776.1 centrin	1
KAF8818751.1 CMGC kinase, MAPK family (ERK) MAPK-1	1
XP_011132351.1 putative ribosomal protein L7A	1
PKY56156.1 FAD-binding domain-containing protein	1
KAF9278469.1 hypothetical protein BGZ68_008561	1
ORX90581.1 FAD-binding domain-containing protein	1
XP_011131158.1 phosphoglycerate kinase	1
KAK3598596.1 hypothetical protein CHS0354_039618	1
XP_011134286.1 putative endonuclease	1
XP_011132051.1 DHHC palmitoyltransferase	1
KAH0478233.1 MAG: hypothetical protein KVP17_00...	1
XP_011128678.1 hypothetical protein GNI_007380	1
XP_011128679.1 hypothetical protein GNI_007390	1
XP_011128680.1 RWD domain protein	1
WP_233985507.1 MULTISPECIES: anaerobic C4-dicar...	1
CEL92293.1 unnamed protein product	1
XP_053992472.1 uncharacterized protein LOC12888...	1
CEL96623.1 unnamed protein product	1
XP_011131092.1 putative cathepsin L-like cystei...	1
XP_002369020.1 lysine decarboxylase family protein	1
XP_002785881.1 sugar transporter, putative	1
XP_011130565.1 hypothetical protein GNI_078300	1
XP_011130564.1 hypothetical protein GNI_078290	1
XP_011128824.1 putative calcium-dependent prote...	1
XP_011134109.1 putative protein tyrosine phosph...	1
XP_011130844.1 hypothetical protein GNI_090840	1
KAI8806924.1 ruvB-like 2-like protein	1
KAF8820959.1 protein phosphatase 2C domain-cont...	1
HCC5837387.1 alpha-xylosidase	1
XP_011130787.1 40S ribosomal protein S6	1
XP_011131638.1 defects in morphology protein 1	1
XP_011132226.1 putative nucleolar protein 10	1
CEM15502.1 unnamed protein product	1
PNR51959.1 hypothetical protein PHYPA_008333	1
XP_011132987.1 protein kinase domain protein	1
XP_011130973.1 hypothetical protein GNI_094940	1
PHJ22851.1 cog2135 domain-containing protein	1
XP_053993115.1 uncharacterized protein LOC12888...	1
CEM20060.1 unnamed protein product	1
MAE80572.1 homoserine kinase	1
PHJ22105.1 serine threonine protein	1
XP_002772068.1 conserved hypothetical protein	1
XP_011132348.1 hypothetical protein GNI_134720	1
XP_011132347.1 coronin, partial	1
XP_013234323.1 proteasome subunit alpha type 2,...	1
XP_011131843.1 proteasome activator complex sub...	1
KAF8820731.1 hypothetical protein IE077_002861	1
CEL70516.1 TPA: TAP42 family protein	1
XP_029217957.1 dual specificity protein phospha...	1
XP_011132686.1 carboxy-terminal domain cyclin	1
XP_003879643.1 protein arginine methyltransfera...	1
XP_011132043.1 disulfide isomerase	1
KAF2431517.1 thioredoxin-domain-containing protein	1
XP_029220784.1 putative integral membrane protein	1
BAN65372.1 RNA polymerase Rpb4 family protein	1
KAF8820996.1 Rna recognition motif-containing p...	1
XP_011128492.1 histone H2B	1
XP_011131040.1 putative phosphodiesterase	1
KAJ1386762.1 hypothetical protein B484DRAFT_459931	1
XP_027193657.1 40S ribosomal protein S23-like	1
XP_011132119.1 RNB-like protein	1
CEM06890.1 unnamed protein product	1
XP_011131685.1 Sec1 family protein	1
CEL66846.1 TPA: COPI associated protein, putative	1
PHJ15129.1 sarcalumenin eps15 family protein, p...	1
XP_011131356.1 putative EH-domain protein	1
XP_011132217.1 putative UDP-N-acetyl-D-galactos...	1
KAH8596716.1 putative heat shock protein sti1 l...	1
XP_011134591.1 ATP-dependent metalloprotease	1
XP_046457542.1 heat shock 70 kDa protein II-like	1
KAF1332943.1 Hsp70-like protein, partial	1
XP_017884796.1 protein dj-1beta-like	1
CDH60675.1 exosome component 4	1
XP_011132906.1 putative importin beta	1
XP_011132907.1 hypothetical protein GNI_155780	1
OAO16150.1 ankyrin repeat family protein	1
XP_011134519.1 RNA recognition motif (RRM) cont...	1
XP_011129390.1 putative unchacterized apicomple...	1
XP_011134308.1 histone acetyltransferase	1
XP_011132685.1 putative centrin	1
CEM37510.1 unnamed protein product	1
XP_011134600.1 putative ABC transporter	1
CDI87080.1 U5 snRNP-associated 102 kDa protein,...	1
PHJ22118.1 aminopeptidase	1
XP_011129410.1 putative DNA polymerase	1
KAH9823997.1 HAD-like domain-containing protein	1
XP_011132123.1 putative haloacid dehalogenase-l...	1
MBK03448.1 peptidase M16	1
XP_026193348.1 uncharacterized protein LOC34624072	1
ADX06244.1 putative heat shock protein 70	1
GBG73777.1 hypothetical protein CBR_g17116	1
CAK0845762.1 unnamed protein product	1
WP_074201356.1 aminopeptidase N	1
XP_055389089.1 LOW QUALITY PROTEIN: uncharacter...	1
XP_011133840.1 3' exoribonuclease family domain...	1
XP_011130971.1 putative DEAD box ATP-dependent ...	1
KAF4665867.1 54S ribosomal protein L2 mitochond...	1
XP_029218638.1 aspartate-tRNA ligase	1
XP_005827836.1 hypothetical protein GUITHDRAFT_...	1
XP_011131336.1 putative ABC transporter	1
KAH1055646.1 hypothetical protein J1N35_033711	1
CEM13002.1 unnamed protein product	1
XP_011131423.1 putative regulator of chromosome...	1
CEL97058.1 unnamed protein product	1
KAH0477108.1 MAG: hypothetical protein KVP18_00...	1
CEL97884.1 unnamed protein product	1
KAH0473110.1 MAG: hypothetical protein KVP17_00...	1
CEM05607.1 unnamed protein product	1
XP_011129277.1 hypothetical protein GNI_035490	1
GFZ48643.1 hypothetical protein JCM24511_06392	1
CEL92530.1 unnamed protein product	1
KAF8822746.1 hypothetical protein IE077_002792	1
KAH0484172.1 MAG: hypothetical protein KVP18_00...	1
XP_013232048.1 Microfibrillar-associated protei...	1
CAK0890325.1 unnamed protein product	1
XP_011131880.1 putative N-ethylmaleimide sensit...	1
XP_011128791.1 putative vacuolar protein sortin...	1
CAD2108125.1 DNA mismatch repair protein MSH6, ...	1
XP_011129647.1 hypothetical protein GNI_048570	1
XP_011129534.1 pseudouridine synthase, partial	1
KAJ8004950.1 hypothetical protein DPEC_G00141600	1
CAD7936830.1 unnamed protein product	1
XP_021337952.1 conserved protein, unknown function	1
XP_011131179.1 N-acetylglucosamine-6-phosphate ...	1
XP_011132219.1 putative DUF895 domain protein	1
XP_003884525.1 hypothetical protein NCLIV_049240	1
BAN65761.1 protein serine/threonine kinase 1	1
XP_011134425.1 putative transmembrane protein	1
XP_011131535.1 ankyrin repeat protein	1
KAJ6490405.1 hypothetical protein C8R47DRAFT_97...	1
XP_011131383.1 putative LMBR1-like protein	1
XP_029219309.1 3'5'-cyclic nucleotide phosphodi...	1
XP_011131947.1 putative adrenodoxin-type ferred...	1
XP_011129707.1 cyclin-dependent kinase regulato...	1
XP_011132737.1 protein kinase, partial	1
XP_011131258.1 YT521-B-like domain protein	1
XP_011132018.1 putative transmembrane protein	1
XP_011132257.1 putative transmembrane protein	1
XP_011130577.1 putative transmembrane protein	1
XP_011131487.1 putative transmembrane protein	1
XP_014158077.1 hypothetical protein SARC_03597	1
CEL95059.1 unnamed protein product	1
XP_048482569.1 Fanconi anemia group J protein h...	1
CEL93228.1 unnamed protein product	1
XP_002370695.1 DnaK family protein	1
XP_011132515.1 putative eukaryotic translation ...	1
PHJ24393.1 trafficking protein particle complex...	1
XP_011132372.1 60S ribosomal protein L12	1
PHJ25112.1 fad malate-dehydrogenase (mdh-fad)	1
XP_011131807.1 glutamine synthetase	1
EAT43990.1 AAEL004646-PA	1
KAH0478108.1 MAG: hypothetical protein KVP18_00...	1
MBD2342046.1 LysM peptidoglycan-binding domain-...	1
GAD31949.1 chitinase class I family protein	1
HVB02593.1 chitinase	1
XP_012648695.1 histone H2A	1
XP_053992562.1 uncharacterized protein LOC12888...	1
XP_028532932.1 histone H2B, putative	1
XP_011132517.1 putative hydroxyacylglutathione ...	1
KYF41548.1 ATP-binding cassette transporter ABC...	1
KAF8822345.1 putative Protein FMP42	1
XP_011132282.1 putative ubiquitin-protein ligase	1
XP_011132135.1 hypothetical protein GNI_130140	1
XP_011133096.1 hypothetical protein GNI_162830	1
XP_013337570.1 phosphatidylinositol N-acetylglu...	1
XP_026193084.1 DNA primase large subunit	1
PKA63694.1 Organic cation/carnitine transporter 4	1
CEL92598.1 unnamed protein product	1
CAK0836379.1 unnamed protein product	1
XP_011129174.1 uracil phosphoribosyltransferase	1
KAG8577836.1 hypothetical protein GDO81_010312	1
XP_011129158.1 hypothetical protein GNI_030970	1
XP_011132196.1 60S acidic ribosomal protein P0	1
XP_029219726.1 arginyl-tRNA synthetase	1
XP_011133341.1 hypothetical protein GNI_172670,...	1
XP_011130091.1 GTP-binding nuclear protein Ran	1
MCJ1300834.1 hypothetical protein	1
XP_011131397.1 LCCL domain protein	1
XP_011130295.1 C2 domain protein	1
CEM03396.1 unnamed protein product	1
CEL98412.1 unnamed protein product	1
XP_027202134.1 60S ribosomal protein L13a-like	1
CEL95959.1 unnamed protein product	1
XP_011130188.1 starch-binding domain protein	1
XP_002773337.1 DP-fucose transporter, putative	1
XP_011129010.1 YagE family protein	1
XP_058053581.1 activating signal cointegrator 1...	1
XP_018637294.1 hypothetical protein TGME49_205030	1
XP_011134524.1 mannitol-1-phosphate 5-dehydroge...	1
KAH0472231.1 MAG: hypothetical protein KVP17_00...	1
XP_011129308.1 hypothetical protein GNI_036350	1
XP_055388766.1 LOW QUALITY PROTEIN: inactive po...	1
CEM38603.1 unnamed protein product	1
KAG7211235.1 hypothetical protein KM043_010548	1
XP_011128942.1 actin	1
KAI4156965.1 MAG: hypothetical protein L6R39_00...	1
KFG55471.1 phosphatidylinositol-4-phosphate 5-k...	1
XP_011134050.1 putative S1/P1nuclease	1
XP_011133074.1 pre-mRNA-splicing factor prp46	1
WFD33554.1 cytosolic thiouridylase subunit Ctu1	1
GMH40198.1 hypothetical protein BSKO_08102	1
XP_011128450.1 40S ribosomal protein S17	1
KAJ1606218.1 putative Sec23	1
XP_011131145.1 putative transmembrane protein	1
XP_002510167.1 protein SRC2 homolog	1
XP_011134285.1 putative endoplasmic reticulum o...	1
WP_139751766.1 23S rRNA (adenine(1618)-N(6))-me...	1
XP_003885287.1 putative 60S ribosomal protein L7a	1
PHJ22940.1 ubx domain-containing protein	1
XP_011132204.1 hypothetical protein GNI_132180	1
XP_011128965.1 putative ubiquitin conjugating e...	1
CAJ1394328.1 unnamed protein product	1
CEM28681.1 unnamed protein product	1
XP_019646220.1 PREDICTED: phospholipid phosphat...	1
XP_011128609.1 hypothetical protein GNI_005330	1
XP_011130226.1 mRNA capping enzyme, large subunit	1
KPK02458.1 MAG: peptidylprolyl isomerase	1
KAF8819334.1 putative coatomer protein complex,...	1
XP_028527378.1 LCCL domain-containing protein, ...	1
XP_011132752.1 MIF4G domain protein	1
XP_011131969.1 WD domain, G-beta repeat protein	1
XP_011133016.1 Der1-like family protein	1
XP_011130305.1 sulfate transporter	1
CEM11249.1 unnamed protein product	1
XP_011131854.1 zinc finger protein	1
XP_011132770.1 TBC domain protein	1
XP_011131753.1 putative transmembrane protein	1
KAJ3418337.1 snoRNA-binding rRNA-processing pro...	1
XP_011130068.1 putative PPPDE peptidase domain ...	1
KAF8820312.1 putative nucleic acid binding protein	1
TYZ65570.1 hypothetical protein PybrP1_003172  ...	1
XP_011129769.1 protein kinase domain protein, p...	1
XP_011129768.1 dynein light chain type 1, partial	1
XP_022589940.1 triosephosphate isomerase, cytos...	1
XP_011130681.1 transcription factor Tfb2	1
OII71135.1 sodium hydrogen exchanger family pro...	1
XP_011129131.1 casein kinase I	1
KAF8820210.1 haloacid dehalogenase family hydro...	1
XP_011130671.1 putative notch domain protein	1
XP_011130672.1 UDP-N-acetylglucosamine transporter	1
KAF1777015.1 DnaJ domain, conserved site	1
KAG0625847.1 hypothetical protein M758_2G084100	1
XP_055388905.1 tubulin beta chain-like	1
KXN87283.1 Type 1 phosphatases regulator YPI1	1
OII71986.1 ubiquitin fusion degradation protein 1	1
XP_011132998.1 nucleoside transporter	1
XP_011129911.1 putative sodium/hydrogen exchanger	1
XP_011133207.1 proteasome subunit beta type	1
XP_053990672.1 uncharacterized protein LOC12888...	1
XP_011132638.1 putative DNA replication licensi...	1
XP_011131188.1 putative WD-repeat protein	1
XP_005855287.1 FAD synthetase	1
XP_011128763.1 protein kinase	1
CEM16726.1 unnamed protein product	1
XP_026189866.1 uncharacterized protein LOC34622448	1
WP_167086576.1 hypothetical protein	1
XP_011132976.1 ATPase	1
KAH0483500.1 MAG: hypothetical protein KVP18_00...	1
XP_011129536.1 hypothetical protein GNI_043320	1
XP_011133154.1 S-adenosylmethionine decarboxylase	1
XP_011134260.1 putative protein phosphatase 2C	1
PHJ25087.1 trm112p family domain-containing pro...	1
XP_011131317.1 DEAD/DEAH box helicase	1
MCP4052507.1 hypothetical protein	1
XP_015437164.1 PREDICTED: gamma-tubulin complex...	1
XP_011130477.1 hypothetical protein GNI_075430,...	1
ESS34627.1 putative P-type ATPase4	1
XP_018635122.1 P-type ATPase4, putative	1
KAG7138851.1 catechol O-methyltransferase 2 lik...	1
XP_011131350.1 protein kinase	1
XP_011131079.1 putative Pfs77	1
KAJ1860733.1 OTU protein	1
XP_011128693.1 putative transcription elongatio...	1
XP_002370866.1 ribosomal protein RPL10A	1
XP_035940883.1 cytosolic iron-sulfur assembly c...	1
KAG2452022.1 hypothetical protein HYH02_003060	1
XP_028860161.1 cleavage and polyadenylation spe...	1
KAH0484161.1 MAG: hypothetical protein KVP18_00...	1
CAK0820377.1 unnamed protein product	1
XP_011132003.1 DNA-directed RNA polymerase	1
XP_019026979.1 mitochondrial processing peptida...	1
KAH0473904.1 MAG: hypothetical protein KVP18_00...	1
XP_011133157.1 putative chaperonin containing T...	1
CEM32714.1 unnamed protein product	1
XP_011129331.1 hypothetical protein GNI_037400	1
XP_011131631.1 putative nucleolar GTP-binding p...	1
XP_011131354.1 peroxiredoxin	1
XP_029218586.1 RNA recognition motif-containing...	1
XP_011128787.1 glutathione peroxidase	1
KAH0474648.1 MAG: hypothetical protein KVP17_00...	1
KAF2114503.1 integral membrane protein	1
XP_011270421.1 hypothetical protein, variant	1
GIX65846.1 amino acid adenylation domain-contai...	1
XP_028876033.1 uncharacterized protein cubi_03019	1
RQX75119.1 putative 5'-AMP-activated protein ki...	1
XP_011130627.1 hypothetical protein GNI_080180	1
